PRDCTS,AVAIL,IMPORT DT,DURTN,SEASONAL,PRICE
apple,1750,01-07-2015,12 months,NO,140
mango,1600,23-04-2015,5 months,NO,70
banana,3456,02-06-2015,5 months,YES,15
pears,2098,19-07-2015,6 months,NO,85
kiwi,4987,12-12-2015,8 months,YES,80
berry,598,12-03-2015,11 months,YES,60
carrot,1895,04-03-2015,12 months,NO,60
potato,2876,03-06-2015,6 months,YES,10
onion,3765,04-08-2015,9 months,YES,20
cabbage,985,23-12-2015,2 months,NO,80
chilly,1654,31/11/2015,11 months,NO,55
beans,4687,19-03-2015,12 months,YES,65
lemon,187,18-04-2015,12 months,NO,100
orange,865,23-07-2015,9 months,NO,110
guava,2765,19-03-2015,7 months,YES,70
lichi,976,19-07-2015,8 months,NO,70
avocado,2435,13/011/2015,8 months,Yes,170
