PRDCTS,AVAIL,IMPORT DT,DURTN,SEASONAL,PRICE
apple,1765,01-07-2015,12 months,YES,90
mango,3567,23-04-2015,5 months,YES,20
banana,1765,02-06-2015,5 months,NO,35
pears,1876,19-07-2015,6 months,NO,75
kiwi,5678,12-12-2015,8 months,YES,90
berry,598,12-03-2015,11 months,YES,70
carrot,1876,04-03-2015,12 months,NO,50
potato,2654,03-06-2015,6 months,YES,10
onion,998,04-08-2015,9 months,NO,60
cabbage,2456,23-12-2015,2 months,YES,50
chilly,4321,31/11/2015,11 months,YES,25
beans,1876,19-03-2015,12 months,NO,95
lemon,487,18-04-2015,12 months,YES,50
orange,1198,23-07-2015,9 months,NO,110
guava,2987,19-03-2015,7 months,YES,50
lichi,1769,19-07-2015,8 months,NO,100
avocado,1765,13/011/2015,8 months,Yes,160
