PRDCTS,AVAIL,IMPORT DT,DURTN,SEASONAL,PRICE
apple,1300,01-07-2015,12 months,YES,110
mango,2200,23-04-2015,5 months,YES,40
banana,4000,02-06-2015,5 months,YES,25
pears,2765,19-07-2015,6 months,NO,75
kiwi,1976,12-12-2015,8 months,NO,120
berry,866,12-03-2015,11 months,YES,70
carrot,1049,04-03-2015,12 months,NO,50
potato,4000,03-06-2015,6 months,YES,20
onion,3765,04-08-2015,9 months,YES,30
cabbage,911,23-12-2015,2 months,NO,70
chilly,6854,31/11/2015,11 months,YES,25
beans,2323,19-03-2015,12 months,NO,75
lemon,698,18-04-2015,12 months,YES,70
orange,934,23-07-2015,9 months,NO,100
guava,1649,19-03-2015,7 months,YES,80
lichi,3976,19-07-2015,8 months,YES,40
avocado,1547,13/011/2015,8 months,YES,190
